dur,proto,service,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sinpkt,dinpkt,sjit,djit,tcprtt,synack,ackdat,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_ltm,ct_srv_dst,attack_cat,label
0.48084067895388644,0.0,ssh,0.2,0.40000000000000013,0.520408163265306,0.5539294306335204,0.01511779095560719,0.0,0.0,0.018545914775505157,0.015036068158499956,0.4038714446998251,0.3836422516716601,0.0,0.34206517044009566,0.8086956521739129,0.8086956521739128,0.4687605574701818,0.2987551867219917,0.0,0.0,0.2987551867219917,0.0,privilege_escalation,1
0.013987032854957384,0.0,ssh,0.2,0.19999999999999996,0.6530612244897959,0.4603047313552526,0.3659470987483687,0.0,0.0,0.6717391552314033,0.36063461901595023,0.011591609644508625,0.015000885488198919,0.0,0.011082329172806205,0.30434782608695654,0.3043478260869565,0.009227135222932822,0.6887966804979253,0.0,0.0,0.6887966804979253,0.0,zero_day_obfuscated_memory_attack,1
0.9404094121075253,0.0,ssh,0.9,0.40000000000000013,0.6326530612244897,0.5711708099438653,0.008018762122575213,0.0,0.0,0.011560341997826257,0.007949625385317705,0.2236376590588524,0.7522595279041203,0.2479563165298478,0.7008731837106762,0.4434782608695652,0.44347826086956516,0.2198624560241177,0.004149377593360981,0.0,0.0,0.004149377593360981,0.0,reconnaissance,0
0.012384352006993515,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016546584344247446,0.0,0.009674047139219414,0.9217391304347825,0.9217391304347824,0.0,0.3402489626556016,0.0,0.0,0.3402489626556016,0.0,brute_force_only,1
0.5235666933780141,0.0,ssh,0.2,0.40000000000000013,0.17346938775510204,0.67542101042502,0.016714112359120344,0.0,0.0,0.005680168458112303,0.016845601521793242,0.46093638237858287,0.4177617982725023,0.0,0.2993362045204173,0.7739130434782607,0.7739130434782608,0.4995796331845373,0.0580912863070539,0.0,0.0,0.0580912863070539,0.0,privilege_escalation,1
0.19731186712318788,0.0,ssh,0.4,0.19999999999999996,0.5816326530612245,0.28909382518043303,0.019465080899053397,0.0,0.0,0.05010066942557804,0.018967452986110685,0.10112366016975267,0.19719099491351635,0.0428035969794642,0.18802833705924482,0.3999999999999999,0.39999999999999997,0.09063469564323735,1.0,0.0,0.0,1.0,0.0,evasion_anti_forensics,1
0.019851387775916076,0.0,ssh,0.2,0.19999999999999996,0.6530612244897959,0.863672814755413,0.5021722219647258,0.0,0.0,0.49758457954785695,0.5012304609932021,0.010897050326281736,0.020386668533516207,0.0,0.011336422420365118,0.7043478260869565,0.7043478260869565,0.008939066593047206,0.6887966804979253,0.0,0.0,0.6887966804979253,0.0,zero_day_obfuscated_memory_attack,1
0.009980330735047714,0.0,ssh,0.2,0.19999999999999996,0.6530612244897959,0.5256615878107458,0.5473966040619197,0.0,0.0,0.8828571323387274,0.5412750456762525,0.007073356579584758,0.009564586545630967,0.0,0.00343865953636457,0.5043478260869564,0.5043478260869565,0.00680591694695927,0.6887966804979253,0.0,0.0,0.6887966804979253,0.0,zero_day_obfuscated_memory_attack,1
0.006847818168572885,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011728594144039513,0.0,0.004785953269342988,0.5478260869565217,0.5478260869565217,0.0,0.6887966804979253,0.0,0.0,0.6887966804979253,0.0,zero_day_obfuscated_memory_attack,1
0.15640708093538283,0.0,ssh,0.2,0.19999999999999996,0.2346938775510204,0.29270248596631915,0.02420604804650812,0.0,0.0,0.025411206887030743,0.024139306240892233,0.20732850518140594,0.15472084929779253,0.0,0.15446945063455958,0.3739130434782608,0.3739130434782609,0.09868602641649891,1.0,0.0,0.0,1.0,0.0,reconnaissance,0
0.5099074816055947,0.0,ssh,0.6000000000000001,0.19999999999999996,0.42857142857142855,0.32457898957497994,0.008417546459466577,0.0,0.0,0.014407185601999904,0.008310971377952201,0.17719558191870038,0.5122738300350298,0.1419006708882072,0.5042526016987314,0.3391304347826086,0.3391304347826086,0.1720157272207496,1.0,0.0,0.0,1.0,0.0,reconnaissance,0
0.010053179864500618,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017179347057208083,0.0,0.007866824644128825,0.5826086956521739,0.5826086956521739,0.0,1.0,0.0,0.0,1.0,0.0,reconnaissance,0
0.7379616813579077,0.0,ssh,1.0,0.19999999999999996,0.6428571428571428,0.15296712109061747,0.002897199449473901,0.0,0.0,0.014957290103749769,0.0027108933357724964,0.17561736687695284,0.7380197388678511,0.15161276890294056,0.7417725006121034,0.7913043478260868,0.7913043478260868,0.05226672236954701,1.0,0.0,0.0,1.0,0.0,reconnaissance,0
0.009069716616886428,0.0,ssh,0.0,0.40000000000000013,0.0,0.015236567762630313,0.01667993879258163,0.0,0.0,0.0,0.01689598776191573,0.0,0.0069073919503647736,0.0,0.004695136952781733,0.29565217391304344,0.29565217391304344,0.0,0.6390041493775933,0.0,0.0,0.6390041493775933,0.0,zero_day_buffer_overflow,1
0.0035331827784657968,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006423986933610577,0.0,0.0014854796034102526,0.5217391304347825,0.5217391304347825,0.0,1.0,0.0,0.0,1.0,0.0,brute_force_only,1
