Cluster,Confidence
1,0.93339247
0,0.9555994
0,0.95574975
1,0.93019557
2,0.946223
0,0.95579946
1,0.9315918
0,0.9555834
2,0.95857865
0,0.9558127
1,0.9316683
0,0.9558059
0,0.9556667
1,0.9333853
0,0.7821019
2,0.9340802
0,0.9552194
0,0.9557579
1,0.93330145
0,0.9557988
1,0.93274325
1,0.9296238
0,0.95578384
1,0.9301732
1,0.93304455
0,0.9558241
0,0.9554727
0,0.9557349
0,0.9556446
1,0.93291694
0,0.95488685
1,0.91806537
1,0.9323362
0,0.9553679
1,0.9330784
2,0.93563336
0,0.95560485
2,0.86309487
1,0.93339086
2,0.95948267
1,0.9219563
2,0.9421332
0,0.9556175
1,0.9321605
0,0.955728
1,0.9315556
2,0.9433365
0,0.9557954
0,0.9557707
0,0.9557101
2,0.90292335
1,0.92856145
1,0.9257328
0,0.9558275
0,0.95549417
2,0.9526562
1,0.93336153
0,0.95576555
0,0.9557895
1,0.92997575
1,0.93338877
2,0.9489319
1,0.92660326
0,0.95579123
2,0.85283095
2,0.87356263
1,0.9318308
1,0.93255264
2,0.9435369
1,0.927023
2,0.9595901
1,0.9327082
0,0.95550483
0,0.9430657
0,0.95572627
0,0.9557776
1,0.93331283
1,0.82972986
1,0.92630047
2,0.9600345
0,0.9556876
1,0.9324761
1,0.92911714
0,0.9558276
0,0.9557524
2,0.9318439
0,0.9555245
1,0.93209887
1,0.9332502
0,0.9557581
0,0.9557151
1,0.9333918
2,0.9555234
0,0.95579267
0,0.9557395
1,0.93287337
2,0.89317787
2,0.9585718
2,0.86897594
1,0.93203306
0,0.9558016
0,0.9555445
0,0.95575523
0,0.95576936
1,0.93163663
2,0.9537173
0,0.9558164
2,0.9365591
1,0.93327135
0,0.95571953
1,0.9263179
0,0.95572424
0,0.95580196
0,0.95576406
0,0.95551217
0,0.95582813
0,0.9553136
1,0.9261563
0,0.95576435
0,0.9554958
1,0.88106686
0,0.9557677
1,0.93317366
1,0.92936987
0,0.9556665
0,0.9557955
0,0.9552035
0,0.9558195
0,0.9556082
0,0.9556782
0,0.95580864
0,0.95574033
2,0.68313015
0,0.9558241
0,0.95580286
2,0.9583429
2,0.9519007
2,0.9582285
0,0.95571893
0,0.95581335
1,0.47991922
0,0.955811
1,0.9300933
1,0.93338656
0,0.95307314
1,0.85879034
0,0.95564663
2,0.9559369
1,0.9312321
0,0.9558246
2,0.94001454
2,0.7745641
2,0.95832545
2,0.94340754
1,0.93270826
1,0.9330925
0,0.9557878
2,0.95808136
2,0.90530914
1,0.9308711
0,0.9556243
2,0.93872684
2,0.9603475
1,0.9331121
0,0.9556947
1,0.9313651
1,0.93006074
