Model,Latent Dimension,Clusters,Silhouette,Davies-Bouldin,Calinski-Harabasz,Training Time (s),Silhouette Rank,DB Rank,CH Rank,Average Rank,Final Rank
DEC,2,5,0.9161900281906128,0.39707451723295417,36413.11797334852,25.05083441734314,1.0,1.0,1.0,1.0,1.0
Autoencoder + K-Means,2,2,0.869512677192688,0.7719176176854268,2670.6476463339627,19.958603382110596,2.0,2.0,3.0,2.3333333333333335,2.0
VAE + GMM,4,2,0.6201514005661011,0.8787946065142094,8032.676173394613,20.65848183631897,3.0,3.0,2.0,2.6666666666666665,3.0
