Latent_1,Latent_2,Cluster
-2.642903,-0.07641365,0
6.8151307,4.3274355,2
-2.6419218,-0.092720404,0
2.1639016,1.970141,1
-2.6557462,-0.06087686,0
7.10577,4.3970604,2
1.9239409,1.8718295,1
-2.671951,-0.09461768,0
-2.603954,-0.07289274,0
6.8135166,4.1692595,2
-2.5812204,-0.052250996,0
-2.6198857,-0.07796599,0
-2.6659772,-0.11220099,0
-2.5640392,-0.07350357,0
2.2111306,2.1681397,1
2.1982803,2.0104854,1
-2.532406,-0.097609535,0
-2.714748,-0.04794444,0
3.2708857,2.5147827,1
7.346635,4.6515465,2
-2.7122207,-0.08950092,0
2.3127518,2.0955336,1
-2.5848234,-0.06754531,0
2.1077743,1.793043,1
6.441125,3.9006667,2
7.067566,4.5495205,2
-2.6870248,-0.08453949,0
8.118855,5.0175967,2
-2.6734092,-0.06829657,0
-2.606024,-0.1073757,0
-2.648526,-0.079691365,0
-2.7097065,-0.11031969,0
2.0453088,1.630476,1
-2.6876702,-0.10820688,0
-1.7527509,-0.038795784,0
7.201211,4.748145,2
-2.6735141,-0.08223106,0
2.1948235,1.8776509,1
-2.6476698,-0.0836025,0
7.686549,4.8913193,2
1.9586976,1.7803932,1
-2.53344,-0.04580827,0
2.8132312,2.1924694,1
-2.6244018,-0.058776155,0
3.2777903,2.430232,1
7.4827857,4.5934076,2
7.664082,4.903615,2
-2.6578548,-0.10033502,0
-2.5993803,-0.07105376,0
-2.579656,-0.04217352,0
7.3310466,4.180993,2
-2.5885463,-0.06361748,0
-2.5859146,-0.07161941,0
-2.5917947,-0.04778482,0
-2.6956227,-0.108283415,0
5.7849717,3.6941328,2
-2.7089763,-0.12604441,0
-2.6378024,-0.072979346,0
2.3116817,2.0360777,1
-2.5731177,-0.0635878,0
1.8878577,1.7045015,1
6.290509,3.9002833,2
-2.715384,-0.12966289,0
8.038059,4.609592,2
2.065741,1.8569907,1
7.5150747,4.710696,2
-0.469437,0.7843782,0
8.14999,5.0551443,2
7.4080443,4.6648035,2
-2.689275,-0.08627881,0
7.194933,4.537533,2
7.5324125,4.645416,2
6.876905,4.360127,2
-2.6554248,-0.10910322,0
-2.73571,-0.12614258,0
-2.7021787,-0.09674986,0
-2.6152089,-0.051851287,0
1.5669215,1.5270919,1
6.757662,4.250004,2
-2.593499,-0.056110993,0
2.3543997,2.1833785,1
-2.6625955,-0.102328196,0
-2.659158,-0.10596813,0
1.9703227,1.7247564,1
-2.5872118,-0.094817415,0
-2.675563,-0.068188205,0
2.0969574,1.9615291,1
2.1307113,1.9611677,1
2.4277027,2.0692546,1
7.615557,4.746123,2
-2.6927512,-0.086989895,0
-2.6545777,-0.07098253,0
8.760032,5.1989594,2
6.169798,3.8734267,2
2.041141,1.8900505,1
2.1327267,1.835799,1
7.585244,4.8194437,2
2.032815,2.019473,1
-2.505108,-0.01613845,0
2.087313,1.8147875,1
1.9046801,1.7731464,1
2.0299969,1.9003593,1
2.1483893,2.008974,1
-2.6405685,-0.08067186,0
2.150699,2.0398803,1
-2.6704512,-0.058083788,0
-2.7154706,-0.123180285,0
2.0217483,1.9199194,1
2.3201265,1.9365989,1
-2.6959436,-0.12450589,0
6.936535,4.3367195,2
6.5562773,3.92026,2
-2.6651945,-0.042350844,0
-2.5883515,-0.062508956,0
-2.6164153,-0.080749646,0
6.0934095,3.8980017,2
6.2140183,3.802971,2
2.037997,1.915464,1
-2.6653492,-0.0963427,0
-2.5713198,-0.20625557,0
-2.611809,-0.03362228,0
-2.5983493,-0.048378482,0
-2.5691116,-0.06726648,0
2.2719772,1.8443881,1
3.276509,2.4748352,1
2.3221314,2.0784564,1
-2.7042627,-0.07816179,0
-1.291609,0.40445924,0
2.1656613,2.091981,1
-2.6092427,-0.058493927,0
-2.7028763,-0.0547712,0
7.308423,4.4528904,2
2.160286,1.9513875,1
1.9165924,1.8607757,1
-2.778793,-0.112750545,0
6.824478,4.497504,2
3.7043788,2.7471118,1
6.6810565,4.154158,2
-2.6663496,-0.04379393,0
1.9813702,2.1459856,1
7.458604,4.5250077,2
-2.7232692,-0.1401775,0
-2.6596715,-0.050080612,0
1.9454614,1.75392,1
-2.633032,-0.07508613,0
7.076062,4.4448953,2
1.9698695,1.8071057,1
2.3776238,1.9727321,1
1.9733288,1.9006675,1
-2.6205955,-0.083225146,0
8.606261,5.307369,2
-2.5465295,-0.04057969,0
3.7279305,2.7171369,1
-2.4248302,0.18970297,0
4.8455544,3.0907326,2
2.194439,1.9700536,1
2.314881,1.9332615,1
2.2231479,1.8657973,1
2.2071357,1.9189233,1
-2.642649,-0.056388512,0
