dur,proto,service,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sinpkt
0.009781418835410855,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003990253893145945,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05935944065821533,0.0,ssh,0.2,0.19999999999999996,0.14285714285714285,0.14735364875701684,0.03129982505344439,0.0,0.0,0.038457457053908024,0.031189252035926585,0.04415650965882984
0.09781418835410854,0.0,ssh,0.30000000000000004,0.40000000000000013,0.47959183673469385,0.12750601443464316,0.017666330221884415,0.0,0.0,0.07991272319792056,0.016704763900794745,0.06790811308201869
0.3978954059112257,0.0,ssh,0.4,0.19999999999999996,0.29591836734693877,0.4232157177225341,0.013930804030287952,0.0,0.0,0.012409446308858343,0.013954308389339568,0.23866258651305713
0.31025106818743603,0.0,ssh,0.4,0.19999999999999996,0.17346938775510204,0.12249398556535686,0.0052315197250437685,0.0,0.0,0.009309165151503462,0.005168532118837923,0.13981573496611274
0.11342208411313957,0.0,ssh,0.5,0.19999999999999996,0.9285714285714285,0.06295108259823576,0.009072543444489626,0.0,0.0,0.13400096689411173,0.007142679309269564,0.04595796757734722
0.007097708252410042,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15752674882587664,0.0,ssh,0.4,0.19999999999999996,0.6530612244897959,0.3319967923015237,0.027951197055040684,0.0,0.0,0.06836666631638673,0.027326867370218843,0.08993371819478481
0.00579116494226491,0.0,ssh,0.0,0.40000000000000013,0.0,0.009823576583801123,0.014374187866413738,0.0,0.0,0.0,0.014596240388898707,0.0
0.005226173240580528,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.003707758042303754,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002330590769448074,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011758889791306189,0.0,ssh,0.0,0.40000000000000013,0.0,0.012028869286287089,0.01053554451302264,0.0,0.0,0.0,0.010698295842077226,0.0
0.2857092411455207,0.0,ssh,0.0,0.6000000000000001,0.0,0.49037690457097033,0.022107731050452877,0.0,0.0,0.0,0.022449242797151003,0.0
0.4611744764998764,0.0,ssh,0.7000000000000001,0.19999999999999996,0.39795918367346933,0.19446672012830793,0.005673085020643243,0.0,0.0,0.014413999178644166,0.0055380576195678865,0.14262209947924645
0.010063914686253046,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8475581764892828,0.0,ssh,1.0,0.19999999999999996,0.6428571428571428,0.37991178829190053,0.006008465291365083,0.0,0.0,0.012708176378056449,0.005904972687037738,0.16572448104131568
0.23824993820403262,0.0,ssh,0.30000000000000004,0.19999999999999996,0.2755102040816326,0.3085404971932638,0.016937184180128597,0.0,0.0,0.019195745520127136,0.01690229075023855,0.13865317836766733
0.4491684028390833,0.0,ssh,0.1,0.19999999999999996,0.49999999999999994,0.0876102646351243,0.0028050617996253392,0.0,0.0,0.018590692608520316,0.0025612122367131163,0.0
0.5522793883964829,0.0,ssh,0.4,0.40000000000000013,0.7755102040816326,0.7107056936647955,0.0170193437712237,0.0,0.0,0.02348122820456486,0.016919525990397324,0.21631779249310767
0.018680038136939865,0.0,ssh,0.2,0.19999999999999996,0.6530612244897959,0.8402165196471532,0.5098028722768316,0.0,0.0,0.5040518378672009,0.5098917118437158,0.008283729921312606
0.0764151276528126,0.0,ssh,0.2,0.19999999999999996,0.13265306122448978,0.3005212510024058,0.049633086532249605,0.0,0.0,0.02805147025549317,0.049966473807788604,0.07677241083052536
0.3469755287969208,0.0,ssh,0.1,0.19999999999999996,0.49999999999999994,0.021251002405773857,0.0011557712137631403,0.0,0.0,0.02401746021979074,0.0008026059495454127,0.0
0.008969243264239557,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002824958508421908,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0033899502101062897,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11900137716727285,0.0,ssh,0.30000000000000004,0.19999999999999996,0.47959183673469385,0.32738572574178026,0.035914696906363903,0.0,0.0,0.06604704372945358,0.035449217322437644,0.09944394719712055
0.3573925632967266,0.0,ssh,0.30000000000000004,0.40000000000000013,0.1530612244897959,0.291299117882919,0.010629938594243925,0.0,0.0,0.007139818731954636,0.010683852132813068,0.22580932486311076
0.26314488505950073,0.0,ssh,0.1,0.19999999999999996,0.49999999999999994,0.08340016038492382,0.00455899978260309,0.0,0.0,0.03157949788444079,0.0041415931166226645,0.0
0.009145803171015925,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.41103146297538756,0.0,ssh,0.1,0.19999999999999996,0.49999999999999994,0.05312750601443464,0.001979215235005113,0.0,0.0,0.020302650369862205,0.001696162321461789,0.0
0.17246371693915746,0.0,ssh,0.4,0.19999999999999996,0.5816326530612245,0.3444266238973536,0.026390955815438297,0.0,0.0,0.05570884521026302,0.02593806057605715,0.10945973313773168
0.009216427133726472,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2618030297680003,0.0,ssh,0.30000000000000004,0.19999999999999996,0.17346938775510204,0.47794707297514033,0.02365936009609937,0.0,0.0,0.011011647131878513,0.023854737785249103,0.21893270349115487
0.1354214484974752,0.0,ssh,0.4,0.19999999999999996,0.6122448979591836,0.1682036888532478,0.01694062166526979,0.0,0.0,0.07432128352125851,0.016054216157815642,0.05758869383232501
0.02108125286909849,0.0,ssh,0.2,0.19999999999999996,0.6530612244897959,0.632317562149158,0.3472828550246481,0.0,0.0,0.4540146120187039,0.3456340920812204,0.00805271433221014
0.005685228998199088,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.008969243264239557,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.011688265828595642,0.0,ssh,0.2,0.19999999999999996,0.6530612244897959,0.40797914995990375,0.3703277775885313,0.0,0.0,0.7422433899290549,0.3645825233690804,0.009909514282432226
0.5634026625233942,0.0,ssh,0.7000000000000001,0.19999999999999996,0.5306122448979591,0.4578989574979952,0.01076403747695628,0.0,0.0,0.015750630974639346,0.01068700398231728,0.15139328799873641
0.17422931600692115,0.0,ssh,0.5,0.19999999999999996,0.7551020408163265,0.19566960705693665,0.015456115985391117,0.0,0.0,0.07160367813371821,0.014588766592738828,0.07615250528890335
0.006320844662594019,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.690667043327801,0.0,ssh,0.4,0.40000000000000013,0.6938775510204082,0.6521651964715317,0.012495694642266169,0.0,0.0,0.016818721567721795,0.012428916445570305,0.30987589025884515
0.0816766128747484,0.0,ssh,0.2,0.40000000000000013,0.3469387755102041,0.2082999198075381,0.03303660518048083,0.0,0.0,0.06881245321712787,0.032483950928234834,0.12026548918766275
0.14855750556163705,0.0,ssh,0.30000000000000004,0.40000000000000013,0.4387755102040816,0.19987971130713714,0.017900204882985344,0.0,0.0,0.04865029952275472,0.01742518718080258,0.07444475489163732
0.0025071506762244437,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.018962533987782058,0.0,ssh,0.1,0.40000000000000013,0.4081632653061224,0.39815557337610263,0.23963337276757146,0.0,0.0,0.3109999907064456,0.23853091954933417,0.0
0.012253257530280023,0.0,ssh,0.0,0.40000000000000013,0.0,0.012830793905372895,0.01087623255650013,0.0,0.0,0.0,0.011044248623770344,0.0
0.019209717857268972,0.0,ssh,0.2,0.19999999999999996,0.6530612244897959,0.9420609462710505,0.5571233740473508,0.0,0.0,0.4920886036543835,0.5581280154462733,0.014515018331674071
0.31710159257035914,0.0,ssh,0.1,0.19999999999999996,0.49999999999999994,0.08560545308740979,0.003880462393055032,0.0,0.0,0.02625817870751927,0.0035347752915638373,0.0
0.005296797203291076,0.0,ssh,0.0,0.40000000000000013,0.0,0.0036086607858861267,0.005590925429548143,0.0,0.0,0.0,0.005677288858964638,0.0
0.34856456795790813,0.0,ssh,0.1,0.19999999999999996,0.49999999999999994,0.053327987169206094,0.002338206962804311,0.0,0.0,0.023908974676157595,0.002004986334761907,0.0
0.14068293371941099,0.0,ssh,0.6000000000000001,0.19999999999999996,0.9999999999999999,0.14595028067361668,0.014995470799147727,0.0,0.0,0.11694960275521694,0.013420511382505695,0.0505362493299127
0.004696493520251421,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1498640488717822,0.0,ssh,0.4,0.40000000000000013,0.8673469387755102,0.049919807538091415,0.005699616491980325,0.0,0.0,0.09534785926011279,0.004314757173411719,0.07736217740082708
0.004731805501606696,0.0,ssh,0.0,0.40000000000000013,0.0,0.0032076984763432237,0.005327887588055802,0.0,0.0,0.0,0.005410189552989231,0.0
0.19506338500653272,0.0,ssh,0.1,0.19999999999999996,0.49999999999999994,0.07999198075380914,0.005901304464253821,0.0,0.0,0.04242859892742663,0.005337042998582804,0.0
0.3676683498711113,0.0,ssh,0.2,0.40000000000000013,0.36734693877551017,0.745589414595028,0.026436774165771885,0.0,0.0,0.016660731142755493,0.026587795725505244,0.09989027320416603
0.005579293054133266,0.0,ssh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0757442000070624,0.0,ssh,0.30000000000000004,0.19999999999999996,0.520408163265306,0.07297514033680834,0.013738748408850964,0.0,0.0,0.1109843556678503,0.012236525074642887,0.03062613077232348
